=== slow log started: C:\Users\Administrator\Documents\GitHub\defect-detector-v3\analisSurface\backend\logs\2026-09-09_22-31-39\slow.log ===
2026-09-09T22:42:32.893 SLOW POST /inspect-shm status=200 duration_ms=1149.6
2026-09-09T22:42:33.190 SLOW POST /inspect-shm status=200 duration_ms=1693.7
2026-09-09T22:42:33.315 SLOW POST /inspect-shm status=200 duration_ms=1640.1
2026-09-09T22:42:42.571 SLOW POST /inspect-shm status=200 duration_ms=1073.8
2026-09-09T22:42:43.232 SLOW POST /inspect-shm status=200 duration_ms=1631.2
2026-09-09T22:42:43.357 SLOW POST /inspect-shm status=200 duration_ms=1631.3
2026-09-09T22:42:43.457 SLOW POST /inspect-shm status=200 duration_ms=1596.3
2026-09-09T22:42:52.678 SLOW POST /inspect-shm status=200 duration_ms=1150.2
2026-09-09T22:42:52.897 SLOW POST /inspect-shm status=200 duration_ms=1837.0
2026-09-09T22:42:53.084 SLOW POST /inspect-shm status=200 duration_ms=1081.4
2026-09-09T22:42:53.225 SLOW POST /inspect-shm status=200 duration_ms=1468.1
2026-09-09T22:43:02.852 SLOW POST /inspect-shm status=200 duration_ms=1780.3
2026-09-09T22:43:03.383 SLOW POST /inspect-shm status=200 duration_ms=1442.7
2026-09-09T22:43:03.505 SLOW POST /inspect-shm status=200 duration_ms=1641.4
2026-09-09T22:43:03.630 SLOW POST /inspect-shm status=200 duration_ms=1600.0
2026-09-09T22:43:12.893 SLOW POST /inspect-shm status=200 duration_ms=1763.7
2026-09-09T22:43:13.128 SLOW POST /inspect-shm status=200 duration_ms=1091.5
2026-09-09T22:43:13.284 SLOW POST /inspect-shm status=200 duration_ms=1562.0
2026-09-09T22:43:13.409 SLOW POST /inspect-shm status=200 duration_ms=1563.1
2026-09-09T22:43:22.783 SLOW POST /inspect-shm status=200 duration_ms=1197.6
2026-09-09T22:43:23.033 SLOW POST /inspect-shm status=200 duration_ms=1040.0
2026-09-09T22:43:23.236 SLOW POST /inspect-shm status=200 duration_ms=1973.2
2026-09-09T22:43:23.789 SLOW POST /inspect-shm status=200 duration_ms=1185.4
2026-09-09T22:43:33.110 SLOW POST /inspect-shm status=200 duration_ms=1037.7
2026-09-09T22:43:33.328 SLOW POST /inspect-shm status=200 duration_ms=2004.2
2026-09-09T22:43:33.548 SLOW POST /inspect-shm status=200 duration_ms=1443.6
2026-09-09T22:43:33.704 SLOW POST /inspect-shm status=200 duration_ms=1441.1
2026-09-09T22:43:43.100 SLOW POST /inspect-shm status=200 duration_ms=1170.4
2026-09-09T22:43:43.303 SLOW POST /inspect-shm status=200 duration_ms=1953.1
2026-09-09T22:43:43.444 SLOW POST /inspect-shm status=200 duration_ms=1594.4
2026-09-09T22:43:43.583 SLOW POST /inspect-shm status=200 duration_ms=1287.4
2026-09-09T22:43:53.291 SLOW POST /inspect-shm status=200 duration_ms=1064.1
2026-09-09T22:43:53.518 SLOW POST /inspect-shm status=200 duration_ms=2064.5
2026-09-09T22:43:53.752 SLOW POST /inspect-shm status=200 duration_ms=1638.7
2026-09-09T22:43:53.862 SLOW POST /inspect-shm status=200 duration_ms=1340.2
2026-09-09T22:44:03.646 SLOW POST /inspect-shm status=200 duration_ms=1764.5
2026-09-09T22:44:03.786 SLOW POST /inspect-shm status=200 duration_ms=1929.0
2026-09-09T22:44:03.880 SLOW POST /inspect-shm status=200 duration_ms=1693.5
2026-09-09T22:44:03.974 SLOW POST /inspect-shm status=200 duration_ms=1716.3
2026-09-09T22:44:13.506 SLOW POST /inspect-shm status=200 duration_ms=1817.2
2026-09-09T22:44:13.916 SLOW POST /inspect-shm status=200 duration_ms=1527.2
2026-09-09T22:44:14.025 SLOW POST /inspect-shm status=200 duration_ms=1309.7
2026-09-09T22:44:23.459 SLOW POST /inspect-shm status=200 duration_ms=1833.2
2026-09-09T22:44:23.633 SLOW POST /inspect-shm status=200 duration_ms=1062.2
2026-09-09T22:44:23.773 SLOW POST /inspect-shm status=200 duration_ms=1767.4
2026-09-09T22:44:24.086 SLOW POST /inspect-shm status=200 duration_ms=1021.7
2026-09-09T22:44:33.373 SLOW POST /inspect-shm status=200 duration_ms=1181.1
2026-09-09T22:44:33.630 SLOW POST /inspect-shm status=200 duration_ms=1068.8
2026-09-09T22:44:33.833 SLOW POST /inspect-shm status=200 duration_ms=1847.0
2026-09-09T22:44:33.958 SLOW POST /inspect-shm status=200 duration_ms=1655.7
2026-09-09T22:44:43.946 SLOW POST /inspect-shm status=200 duration_ms=1781.5
2026-09-09T22:44:44.087 SLOW POST /inspect-shm status=200 duration_ms=1796.9
2026-09-09T22:44:44.243 SLOW POST /inspect-shm status=200 duration_ms=1690.9
2026-09-09T22:44:44.353 SLOW POST /inspect-shm status=200 duration_ms=1376.1
2026-09-09T22:44:53.419 SLOW POST /inspect-shm status=200 duration_ms=1142.2
2026-09-09T22:44:53.642 SLOW POST /inspect-shm status=200 duration_ms=1937.4
2026-09-09T22:44:53.876 SLOW POST /inspect-shm status=200 duration_ms=1012.0
2026-09-09T22:44:54.314 SLOW POST /inspect-shm status=200 duration_ms=1599.2
2026-09-09T22:45:03.452 SLOW POST /inspect-shm status=200 duration_ms=1080.8
2026-09-09T22:45:03.778 SLOW POST /inspect-shm status=200 duration_ms=1075.2
2026-09-09T22:45:04.450 SLOW POST /inspect-shm status=200 duration_ms=1704.2
2026-09-09T22:45:04.582 SLOW POST /inspect-shm status=200 duration_ms=2037.5
2026-09-09T22:45:13.749 SLOW POST /inspect-shm status=200 duration_ms=1766.9
2026-09-09T22:45:14.046 SLOW POST /inspect-shm status=200 duration_ms=1680.8
2026-09-09T22:45:14.265 SLOW POST /inspect-shm status=200 duration_ms=1503.4
2026-09-09T22:45:14.358 SLOW POST /inspect-shm status=200 duration_ms=1460.7
2026-09-09T22:45:23.562 SLOW POST /inspect-shm status=200 duration_ms=1132.6
2026-09-09T22:45:23.765 SLOW POST /inspect-shm status=200 duration_ms=1782.2
2026-09-09T22:45:24.452 SLOW POST /inspect-shm status=200 duration_ms=1626.0
2026-09-09T22:45:24.583 SLOW POST /inspect-shm status=200 duration_ms=1372.0
2026-09-09T22:45:33.990 SLOW POST /inspect-shm status=200 duration_ms=1493.8
2026-09-09T22:45:34.318 SLOW POST /inspect-shm status=200 duration_ms=1494.8
2026-09-09T22:45:34.443 SLOW POST /inspect-shm status=200 duration_ms=1413.6
2026-09-09T22:45:43.878 SLOW POST /inspect-shm status=200 duration_ms=1787.4
2026-09-09T22:45:44.128 SLOW POST /inspect-shm status=200 duration_ms=1155.1
2026-09-09T22:45:44.315 SLOW POST /inspect-shm status=200 duration_ms=1574.6
2026-09-09T22:45:44.573 SLOW POST /inspect-shm status=200 duration_ms=1327.9
2026-09-09T22:45:53.738 SLOW POST /inspect-shm status=200 duration_ms=1645.6
2026-09-09T22:45:54.081 SLOW POST /inspect-shm status=200 duration_ms=1076.2
2026-09-09T22:45:54.269 SLOW POST /inspect-shm status=200 duration_ms=1603.1
2026-09-09T22:45:54.441 SLOW POST /inspect-shm status=200 duration_ms=1514.4
2026-09-09T22:46:04.076 SLOW POST /inspect-shm status=200 duration_ms=1074.0
2026-09-09T22:46:04.279 SLOW POST /inspect-shm status=200 duration_ms=1945.3
2026-09-09T22:46:04.435 SLOW POST /inspect-shm status=200 duration_ms=1742.8
2026-09-09T22:46:04.544 SLOW POST /inspect-shm status=200 duration_ms=1209.2
2026-09-09T22:46:13.970 SLOW POST /inspect-shm status=200 duration_ms=1730.7
2026-09-09T22:46:14.377 SLOW POST /inspect-shm status=200 duration_ms=1624.1
2026-09-09T22:46:14.601 SLOW POST /inspect-shm status=200 duration_ms=1530.5
2026-09-09T22:46:14.726 SLOW POST /inspect-shm status=200 duration_ms=1598.6
2026-09-09T22:46:23.941 SLOW POST /inspect-shm status=200 duration_ms=1024.8
2026-09-09T22:46:24.160 SLOW POST /inspect-shm status=200 duration_ms=1916.6
2026-09-09T22:46:24.713 SLOW POST /inspect-shm status=200 duration_ms=1353.2
2026-09-09T22:46:24.854 SLOW POST /inspect-shm status=200 duration_ms=1656.9
2026-09-09T22:46:34.520 SLOW POST /inspect-shm status=200 duration_ms=1137.1
2026-09-09T22:46:34.694 SLOW POST /inspect-shm status=200 duration_ms=1960.2
2026-09-09T22:46:34.803 SLOW POST /inspect-shm status=200 duration_ms=1815.1
2026-09-09T22:46:34.928 SLOW POST /inspect-shm status=200 duration_ms=1674.0
2026-09-09T22:46:44.326 SLOW POST /inspect-shm status=200 duration_ms=1135.2
2026-09-09T22:46:44.509 SLOW POST /inspect-shm status=200 duration_ms=1989.4
2026-09-09T22:46:44.741 SLOW POST /inspect-shm status=200 duration_ms=1813.7
2026-09-09T22:46:54.513 SLOW POST /inspect-shm status=200 duration_ms=2034.6
2026-09-09T22:46:54.746 SLOW POST /inspect-shm status=200 duration_ms=1255.7
2026-09-09T22:46:54.921 SLOW POST /inspect-shm status=200 duration_ms=1202.6
2026-09-09T22:46:55.043 SLOW POST /inspect-shm status=200 duration_ms=2008.4
2026-09-09T22:47:04.662 SLOW POST /inspect-shm status=200 duration_ms=1319.2
2026-09-09T22:47:04.871 SLOW POST /inspect-shm status=200 duration_ms=2200.1
