2026-09-16 22:23:39.734 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-16 22:23:39.734 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.b.IntegrationBootstrap - critical service dead name=io_input_monitor — vision_fault; attempting restart
2026-09-16 22:23:39.736 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.s.ExternalServiceProcess - started external service io-input-monitor pid=13052 command=[dotnet, exec, IoInputMonitor/bin/Release/net10.0/IoInputMonitor.dll]
2026-09-16 22:23:39.736 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.b.IntegrationBootstrap - started io-input-monitor command=[dotnet, exec, IoInputMonitor/bin/Release/net10.0/IoInputMonitor.dll] cwd=D:\App\defect-detector-v3
2026-09-16 22:23:39.736 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=520
2026-09-16 22:23:39.736 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=521
2026-09-16 22:23:39.737 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-16 22:23:39.737 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.b.IntegrationBootstrap - critical service restarted name=io_input_monitor — clearing fault if all healthy
2026-09-16 22:23:39.894 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=522
2026-09-16 22:23:39.895 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=523
2026-09-16 22:23:39.895 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-16 22:23:39.895 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.b.IntegrationBootstrap - critical service dead name=io_input_monitor — vision_fault; attempting restart
2026-09-16 22:23:39.896 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.s.ExternalServiceProcess - started external service io-input-monitor pid=20740 command=[dotnet, exec, IoInputMonitor/bin/Release/net10.0/IoInputMonitor.dll]
2026-09-16 22:23:39.897 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.b.IntegrationBootstrap - started io-input-monitor command=[dotnet, exec, IoInputMonitor/bin/Release/net10.0/IoInputMonitor.dll] cwd=D:\App\defect-detector-v3
