2026-09-15T08:55:44.951108300Z | inspection_cycle | cam=9 frame=3 product=bench-lan10 | capture=0.289s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.289s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:44.956094100Z | inspection_cycle | cam=1 frame=3 product=bench-lan2 | capture=0.296s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.296s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:44.970057800Z | inspection_cycle | cam=5 frame=3 product=bench-lan6 | capture=0.308s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.308s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:44.973050900Z | inspection_cycle | cam=2 frame=3 product=bench-lan3 | capture=0.310s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.310s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:55.048179200Z | inspection_cycle | cam=3 frame=4 product=bench-lan4 | capture=0.310s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.310s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:55.054163600Z | inspection_cycle | cam=0 frame=4 product=bench-lan1 | capture=0.313s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.313s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:55.054163600Z | inspection_cycle | cam=1 frame=4 product=bench-lan2 | capture=0.313s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.313s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:55.057156800Z | inspection_cycle | cam=4 frame=4 product=bench-lan5 | capture=0.314s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.314s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:55.058153800Z | inspection_cycle | cam=6 frame=4 product=bench-lan7 | capture=0.313s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.313s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:55.063140300Z | inspection_cycle | cam=7 frame=4 product=bench-lan8 | capture=0.314s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.314s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:55.064136400Z | inspection_cycle | cam=2 frame=4 product=bench-lan3 | capture=0.321s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.321s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:55.065133700Z | inspection_cycle | cam=8 frame=4 product=bench-lan9 | capture=0.315s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.315s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:55.065133700Z | inspection_cycle | cam=5 frame=4 product=bench-lan6 | capture=0.317s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.317s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:55.065133700Z | inspection_cycle | cam=9 frame=4 product=bench-lan10 | capture=0.316s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.316s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:05.041776300Z | inspection_cycle | cam=4 frame=5 product=bench-lan5 | capture=0.245s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.245s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:05.100812Z | inspection_cycle | cam=6 frame=5 product=bench-lan7 | capture=0.257s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.257s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:05.119300700Z | inspection_cycle | cam=0 frame=5 product=bench-lan1 | capture=0.310s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.310s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:05.122291800Z | inspection_cycle | cam=9 frame=5 product=bench-lan10 | capture=0.315s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.315s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:05.124291800Z | inspection_cycle | cam=1 frame=5 product=bench-lan2 | capture=0.314s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.314s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:05.125285800Z | inspection_cycle | cam=7 frame=5 product=bench-lan8 | capture=0.314s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.314s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
