2026-09-22 22:50:26.922 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9657
2026-09-22 22:50:26.923 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-22 22:50:27.034 WARN  [plc-fins-publisher] c.e.i.o.i.f.FanOutCoordinator - plc fins worker error: FINS timeout host=169.254.220.231:9600
2026-09-22 22:50:27.084 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9658
2026-09-22 22:50:27.084 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-22 22:50:27.085 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9659
2026-09-22 22:50:27.086 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9660
2026-09-22 22:50:27.086 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-22 22:50:27.245 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9661
2026-09-22 22:50:27.246 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9662
2026-09-22 22:50:27.246 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-22 22:50:27.247 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9663
2026-09-22 22:50:27.247 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9664
2026-09-22 22:50:27.247 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-22 22:50:27.405 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9665
2026-09-22 22:50:27.405 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9666
2026-09-22 22:50:27.405 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-22 22:50:27.406 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9667
2026-09-22 22:50:27.406 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9668
2026-09-22 22:50:27.407 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true unhealthy=[])
2026-09-22 22:50:27.565 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9669
2026-09-22 22:50:27.565 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9670
2026-09-22 22:50:27.565 INFO  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=true (reference_active=false healthy=false unhealthy=[io_input_monitor])
2026-09-22 22:50:27.567 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9671
2026-09-22 22:50:27.567 WARN  [ForkJoinPool.commonPool-worker-1] c.e.i.o.i.f.FanOutCoordinator - plc fins queue full, job dropped total=9672
