2026-05-28 11:49:10.001 INFO  [WebSocketWorker-38] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:10.519 INFO  [WebSocketWorker-39] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:10.519 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:10.519 INFO  [WebSocketWorker-39] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:11.036 INFO  [WebSocketWorker-40] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:11.036 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:11.036 INFO  [WebSocketWorker-40] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:11.447 INFO  [light-trigger] c.e.i.o.i.l.LightTriggerClient - light light-com COM Off port=COM2 -> {"success":true,"message":"Channels [1, 2, 3, 4] -> Off (hold-seq-off), brightness [0, 0, 0, 0].","error":null,"deviceIndex":null,"comPort":"COM2","lightControllerSource":"Off","channels":[1,2,3,4],"brightness":null}
2026-05-28 11:49:11.447 INFO  [light-trigger] c.e.i.o.i.l.LightTriggerClient - light light-com COM Off port=COM2
2026-05-28 11:49:11.545 INFO  [WebSocketWorker-41] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:11.545 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:11.545 INFO  [WebSocketWorker-41] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:12.048 INFO  [WebSocketWorker-42] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:12.049 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:12.049 INFO  [WebSocketWorker-42] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:12.554 INFO  [WebSocketWorker-31] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:12.555 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:12.555 INFO  [WebSocketWorker-31] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:13.063 INFO  [WebSocketWorker-32] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:13.064 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:13.064 INFO  [WebSocketWorker-32] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:13.572 INFO  [WebSocketWorker-33] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:13.573 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:13.573 INFO  [WebSocketWorker-33] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:14.077 INFO  [WebSocketWorker-34] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:14.078 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:14.078 INFO  [WebSocketWorker-34] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:14.586 INFO  [WebSocketWorker-35] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:14.587 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:14.587 INFO  [WebSocketWorker-35] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:15.094 INFO  [WebSocketWorker-36] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:15.095 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:15.095 INFO  [WebSocketWorker-36] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:15.601 INFO  [WebSocketWorker-37] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:15.602 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:15.602 INFO  [WebSocketWorker-37] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:16.109 INFO  [WebSocketWorker-38] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:16.110 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:16.110 INFO  [WebSocketWorker-38] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:16.617 INFO  [WebSocketWorker-39] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:16.618 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:16.618 INFO  [WebSocketWorker-39] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:17.123 INFO  [WebSocketWorker-40] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:17.124 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:17.124 INFO  [WebSocketWorker-40] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:17.632 INFO  [WebSocketWorker-41] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:17.633 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:17.633 INFO  [WebSocketWorker-41] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:17.834 INFO  [light-trigger] c.e.i.o.i.l.LightTriggerClient - light light-com COM On port=COM2 -> {"success":true,"message":"Channels [1, 2, 3, 4] -> On (hold-assembled+trigger:TriggerSoftware+timer-hold:TimerDuration), brightness [204, 204, 204, 204].","error":null,"deviceIndex":null,"comPort":"COM2","lightControllerSource":"On","channels":[1,2,3,4],"brightness":[204,204,204,204]}
2026-05-28 11:49:17.834 INFO  [light-trigger] c.e.i.o.i.l.LightTriggerClient - light light-com COM On cam=0 frame=-1 phase=preview port=COM2 brightness=[204, 204, 204, 204]
2026-05-28 11:49:18.136 INFO  [WebSocketWorker-42] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:18.137 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:18.137 INFO  [WebSocketWorker-42] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:18.644 INFO  [WebSocketWorker-31] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:18.645 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:18.645 INFO  [WebSocketWorker-31] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:19.153 INFO  [WebSocketWorker-32] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:19.154 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:19.154 INFO  [WebSocketWorker-32] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:19.661 INFO  [WebSocketWorker-33] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:19.662 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:19.662 INFO  [WebSocketWorker-33] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:19.930 INFO  [light-trigger] c.e.i.o.i.l.LightTriggerClient - light light-com COM Off port=COM2 -> {"success":true,"message":"Channels [1, 2, 3, 4] -> Off (hold-seq-off), brightness [0, 0, 0, 0].","error":null,"deviceIndex":null,"comPort":"COM2","lightControllerSource":"Off","channels":[1,2,3,4],"brightness":null}
2026-05-28 11:49:19.930 INFO  [light-trigger] c.e.i.o.i.l.LightTriggerClient - light light-com COM Off port=COM2
2026-05-28 11:49:20.166 INFO  [WebSocketWorker-34] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:20.167 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:20.167 INFO  [WebSocketWorker-34] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:20.674 INFO  [WebSocketWorker-35] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:20.675 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:20.675 INFO  [WebSocketWorker-35] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:21.183 INFO  [WebSocketWorker-36] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:21.184 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:21.184 INFO  [WebSocketWorker-36] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:21.691 INFO  [WebSocketWorker-37] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:21.692 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:21.692 INFO  [WebSocketWorker-37] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:22.202 INFO  [WebSocketWorker-38] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:22.202 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:22.202 INFO  [WebSocketWorker-38] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:22.714 INFO  [WebSocketWorker-39] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:22.714 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:22.714 INFO  [WebSocketWorker-39] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:23.216 INFO  [WebSocketWorker-40] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:23.216 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:23.216 INFO  [WebSocketWorker-40] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:23.719 INFO  [WebSocketWorker-41] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:23.719 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:23.719 INFO  [WebSocketWorker-41] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:24.222 INFO  [WebSocketWorker-42] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:24.222 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:24.222 INFO  [WebSocketWorker-42] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:24.724 INFO  [WebSocketWorker-31] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:24.724 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:24.724 INFO  [WebSocketWorker-31] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:25.229 INFO  [WebSocketWorker-32] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:25.229 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:25.229 INFO  [WebSocketWorker-32] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:25.744 INFO  [WebSocketWorker-33] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:25.744 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:25.744 INFO  [WebSocketWorker-33] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:26.046 INFO  [light-trigger] c.e.i.o.i.l.LightTriggerClient - light light-com COM On port=COM2 -> {"success":true,"message":"Channels [1, 2, 3, 4] -> On (hold-assembled+trigger:TriggerSoftware+timer-hold:TimerDuration), brightness [204, 204, 204, 204].","error":null,"deviceIndex":null,"comPort":"COM2","lightControllerSource":"On","channels":[1,2,3,4],"brightness":[204,204,204,204]}
2026-05-28 11:49:26.046 INFO  [light-trigger] c.e.i.o.i.l.LightTriggerClient - light light-com COM On cam=0 frame=-1 phase=preview port=COM2 brightness=[204, 204, 204, 204]
2026-05-28 11:49:26.251 INFO  [WebSocketWorker-34] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:26.251 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
2026-05-28 11:49:26.251 INFO  [WebSocketWorker-34] c.e.i.o.i.b.IntegrationBootstrap - client_ws sent type=server.hello session_state=NO_REFERENCE
2026-05-28 11:49:26.765 INFO  [WebSocketWorker-35] c.e.i.o.i.b.IntegrationBootstrap - client_ws closing previous session (replaced by new client)
2026-05-28 11:49:26.765 INFO  [WebSocketSelector-44] c.e.i.o.i.b.IntegrationBootstrap - client_ws closed code=1000 reason=replaced_by_new_session remote=false
