,Состояния,,,,Неисправности,,,,Управление,,,
,RF,,,,RF,,,,RF,,,
,,BOOL,150.02,,,BOOL,200.02,,,BOOL,250.02,
,,BOOL,150.03,,,BOOL,200.03,,,BOOL,250.03,
,,BOOL,150.04,,,BOOL,200.04,,,BOOL,250.04,
,,BOOL,150.05,,,BOOL,200.05,,,BOOL,250.05,
,,BOOL,150.06,,,BOOL,200.06,,,BOOL,250.06,
,,BOOL,150.07,,,BOOL,200.07,,,BOOL,250.07,
,,BOOL,150.08,,,BOOL,200.08,,,BOOL,250.08,
,,BOOL,150.09,,,BOOL,200.09,,,BOOL,250.09,
,,BOOL,150.10,,,BOOL,200.10,,,BOOL,250.10,
,,BOOL,150.11,,,BOOL,200.11,,,BOOL,250.11,
,,BOOL,150.12,,,BOOL,200.12,,,BOOL,250.12,
,,BOOL,150.13,,,BOOL,200.13,,,BOOL,250.13,
,,BOOL,150.14,,,BOOL,200.14,,,BOOL,250.14,
,,BOOL,150.15,,,BOOL,200.15,,,BOOL,250.15,
,,CHANNEL,151,,,CHANNEL,201,,,CHANNEL,251,
,,BOOL,151.00,,,BOOL,201.00,,,BOOL,251.00,
,,BOOL,151.01,,,BOOL,201.01,,,BOOL,251.01,
,,BOOL,151.02,,,BOOL,201.02,,,BOOL,251.02,
,,BOOL,151.03,,,BOOL,201.03,,,BOOL,251.03,
,,BOOL,151.04,,,BOOL,201.04,,,BOOL,251.04,
,,BOOL,151.05,,,BOOL,201.05,,,BOOL,251.05,
,,BOOL,151.06,,,BOOL,201.06,,,BOOL,251.06,
,,BOOL,151.07,,,BOOL,201.07,,,BOOL,251.07,
,,BOOL,151.08,,,BOOL,201.08,,,BOOL,251.08,
,,BOOL,151.09,,,BOOL,201.09,,,BOOL,251.09,
,,BOOL,151.10,,,BOOL,201.10,,,BOOL,251.10,
,,BOOL,151.11,,,BOOL,201.11,,,BOOL,251.11,
,,BOOL,151.12,,,BOOL,201.12,,,BOOL,251.12,
,,BOOL,151.13,,,BOOL,201.13,,,BOOL,251.13,
,,BOOL,151.14,,,BOOL,201.14,,,BOOL,251.14,
,,BOOL,151.15,,,BOOL,201.15,,,BOOL,251.15,
,,CHANNEL,152,,,CHANNEL,202,,,CHANNEL,252,
,,BOOL,152.00,,,BOOL,202.00,,,BOOL,252.00,
,,BOOL,152.01,,,BOOL,202.01,,,BOOL,252.01,
,,BOOL,152.02,,,BOOL,202.02,,,BOOL,252.02,
,,BOOL,152.03,,,BOOL,202.03,,,BOOL,252.03,
,,BOOL,152.04,,,BOOL,202.04,,,BOOL,252.04,
,,BOOL,152.05,,,BOOL,202.05,,,BOOL,252.05,
,,BOOL,152.06,,,BOOL,202.06,,,BOOL,252.06,
,,BOOL,152.07,,,BOOL,202.07,,,BOOL,252.07,
,,BOOL,152.08,,,BOOL,202.08,,,BOOL,252.08,
,,BOOL,152.09,,,BOOL,202.09,,,BOOL,252.09,
,,BOOL,152.10,,,BOOL,202.10,,,BOOL,252.10,
