Required fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,,,
,,,CHANNEL,D1044,,,CHANNEL,D1244,,,WORD,D1444,,,BOOL,H42.09,,,BOOL,H52.09,,,BOOL,W42.09,,,BOOL,W52.09,,,BOOL,T64,,,,
,,,CHANNEL,D1045,,,CHANNEL,D1245,,,WORD,D1445,,,BOOL,H42.10,,,BOOL,H52.10,,,BOOL,W42.10,,,BOOL,W52.10,,,BOOL,T65,,,,
,,,CHANNEL,D1046,,,CHANNEL,D1246,,,WORD,D1446,,,BOOL,H42.11,,,BOOL,H52.11,,,BOOL,W42.11,,,BOOL,W52.11,,,BOOL,T66,,,,
,,,CHANNEL,D1047,,,CHANNEL,D1247,,,WORD,D1447,,,BOOL,H42.12,,,BOOL,H52.12,,,BOOL,W42.12,,,BOOL,W52.12,,,BOOL,T67,,,,
,,,CHANNEL,D1048,,,CHANNEL,D1248,,,WORD,D1448,,,BOOL,H42.13,,,BOOL,H52.13,,,BOOL,W42.13,,,BOOL,W52.13,,,BOOL,T68,,,,
,,,CHANNEL,D1049,,,CHANNEL,D1249,,,WORD,D1449,,,BOOL,H42.14,,,BOOL,H52.14,,,BOOL,W42.14,,,BOOL,W52.14,,,BOOL,T69,,,,
,,,CHANNEL,D1050,,,CHANNEL,D1250,,,WORD,D1450,,,BOOL,H42.15,,,BOOL,H52.15,,,BOOL,W42.15,,,BOOL,W52.15,,,,,,,,
,,,CHANNEL,D1051,,,CHANNEL,D1251,,,WORD,D1451,,,WORD,H43,,,WORD,H53,,,CHANNEL,W43,,,CHANNEL,W53,,,,,,,,
,,,CHANNEL,D1052,,,CHANNEL,D1252,,,WORD,D1452,,,BOOL,H43.00,,,BOOL,H53.00,,,BOOL,W43.00,,,BOOL,W53.00,,,,,,,,
,,,CHANNEL,D1053,,,CHANNEL,D1253,,,WORD,D1453,,,BOOL,H43.01,,,BOOL,H53.01,,,BOOL,W43.01,,,BOOL,W53.01,,,,,,,,
,,,CHANNEL,D1054,,,CHANNEL,D1254,,,WORD,D1454,,,BOOL,H43.02,,,BOOL,H53.02,,,BOOL,W43.02,,,BOOL,W53.02,,,,,,,,
,,,CHANNEL,D1055,,,CHANNEL,D1255,,,WORD,D1455,,,BOOL,H43.03,,,BOOL,H53.03,,,BOOL,W43.03,,,BOOL,W53.03,,,,,,,,
,,,CHANNEL,D1056,,,CHANNEL,D1256,,,WORD,D1456,,,BOOL,H43.04,,,BOOL,H53.04,,,BOOL,W43.04,,,BOOL,W53.04,,,,,,,,
,,,CHANNEL,D1057,,,CHANNEL,D1257,,,WORD,D1457,,,BOOL,H43.05,,,BOOL,H53.05,,,BOOL,W43.05,,,BOOL,W53.05,,,,,,,,
,,,CHANNEL,D1058,,,CHANNEL,D1258,,,WORD,D1458,,,BOOL,H43.06,,,BOOL,H53.06,,,BOOL,W43.06,,,BOOL,W53.06,,,,,,,,
,,,CHANNEL,D1059,,,CHANNEL,D1259,,,WORD,D1459,,,BOOL,H43.07,,,BOOL,H53.07,,,BOOL,W43.07,,,BOOL,W53.07,,,,,,,,
,,,CHANNEL,D1060,,,CHANNEL,D1260,,,WORD,D1460,,,BOOL,H43.08,,,BOOL,H53.08,,,BOOL,W43.08,,,BOOL,W53.08,,,,,,,,
,,,CHANNEL,D1061,,,CHANNEL,D1261,,,WORD,D1461,,,BOOL,H43.09,,,BOOL,H53.09,,,BOOL,W43.09,,,BOOL,W53.09,,,,,,,,
,,,CHANNEL,D1062,,,CHANNEL,D1262,,,WORD,D1462,,,BOOL,H43.10,,,BOOL,H53.10,,,BOOL,W43.10,,,BOOL,W53.10,,,,,,,,
,,,CHANNEL,D1063,,,CHANNEL,D1263,,,WORD,D1463,,,BOOL,H43.11,,,BOOL,H53.11,,,BOOL,W43.11,,,BOOL,W53.11,,,,,,,,
,,,CHANNEL,D1064,,,CHANNEL,D1264,,,WORD,D1464,,,BOOL,H43.12,,,BOOL,H53.12,,,BOOL,W43.12,,,BOOL,W53.12,,,,,,,,
,,,CHANNEL,D1065,,,CHANNEL,D1265,,,WORD,D1465,,,BOOL,H43.13,,,BOOL,H53.13,,,BOOL,W43.13,,,BOOL,W53.13,,,,,,,,
,,,CHANNEL,D1066,,,CHANNEL,D1266,,,WORD,D1466,,,BOOL,H43.14,,,BOOL,H53.14,,,BOOL,W43.14,,,BOOL,W53.14,,,,,,,,
,,,CHANNEL,D1067,,,CHANNEL,D1267,,,WORD,D1467,,,BOOL,H43.15,,,BOOL,H53.15,,,BOOL,W43.15,,,BOOL,W53.15,,,,,,,,
,,,CHANNEL,D1068,,,CHANNEL,D1268,,,WORD,D1468,,,WORD,H44,,,WORD,H54,,,CHANNEL,W44,,,CHANNEL,W54,,,,,,,,
,,,CHANNEL,D1069,,,CHANNEL,D1269,,,WORD,D1469,,,BOOL,H44.00,,,BOOL,H54.00,,,BOOL,W44.00,,,BOOL,W54.00,,,,,,,,
,,,CHANNEL,D1070,,,CHANNEL,D1270,,,WORD,D1470,,,BOOL,H44.01,,,BOOL,H54.01,,,BOOL,W44.01,,,BOOL,W54.01,,,,,,,,
,,,CHANNEL,D1071,,,CHANNEL,D1271,,,WORD,D1471,,,BOOL,H44.02,,,BOOL,H54.02,,,BOOL,W44.02,,,BOOL,W54.02,,,,,,,,
,,,CHANNEL,D1072,,,CHANNEL,D1272,,,WORD,D1472,,,BOOL,H44.03,,,BOOL,H54.03,,,BOOL,W44.03,,,BOOL,W54.03,,,,,,,,
,,,CHANNEL,D1073,,,CHANNEL,D1273,,,WORD,D1473,,,BOOL,H44.04,,,BOOL,H54.04,,,BOOL,W44.04,,,BOOL,W54.04,,,,,,,,
,,,CHANNEL,D1074,,,CHANNEL,D1274,,,WORD,D1474,,,BOOL,H44.05,,,BOOL,H54.05,,,BOOL,W44.05,,,BOOL,W54.05,,,,,,,,
,,,CHANNEL,D1075,,,CHANNEL,D1275,,,WORD,D1475,,,BOOL,H44.06,,,BOOL,H54.06,,,BOOL,W44.06,,,BOOL,W54.06,,,,,,,,
,,,CHANNEL,D1076,,,CHANNEL,D1276,,,WORD,D1476,,,BOOL,H44.07,,,BOOL,H54.07,,,BOOL,W44.07,,,BOOL,W54.07,,,,,,,,
,,,CHANNEL,D1077,,,CHANNEL,D1277,,,WORD,D1477,,,BOOL,H44.08,,,BOOL,H54.08,,,BOOL,W44.08,,,BOOL,W54.08,,,,,,,,
